Tags,Mean,Var
ST0_VARActAuftrag,0.0,0.0
ST110_VARExtr_0_HeizungZone_3_Regler_Y,3.0337380784175205,55.67346732951558
ST110_VARExtr_0_HeizungZone_3_SollTemp,176.07012981278703,273.9093210770116
ST110_VARExtr_0_HeizungZone_4_Konfig,1.0,0.0
ST110_VARExtr_0_HeizungZone_4_Regler_X,184.11163458142,455.7416914721682
ST110_VARExtr_0_HeizungZone_4_Regler_Y,0.5655245496291064,12.856157152200575
ST110_VARExtr_0_HeizungZone_4_SollTemp,176.23817997174146,274.54931741078906
ST110_VARExtr_0_HeizungZone_5_Konfig,1.0,0.0
ST110_VARExtr_0_HeizungZone_5_Regler_X,176.35970505121864,439.0800041873142
ST110_VARExtr_0_HeizungZone_5_Regler_Y,11.22016955139527,91.11279838523001
ST110_VARExtr_0_HeizungZone_5_SollTemp,176.3328726598375,282.0976870391596
ST110_VARExtr_0_HeizungZone_6_Konfig,0.0,0.0
ST110_VARExtr_0_HeizungZone_6_Regler_X,36.3118774284705,16.3031047016202
ST110_VARExtr_0_HeizungZone_6_Regler_Y,0.0,0.0
ST110_VARExtr_0_HeizungZone_6_SollTemp,148.63431649593784,66.4193770382552
ST110_VARExtr_0_HeizungZone_7_Konfig,0.0,0.0
ST110_VARExtr_0_HeizungZone_7_Regler_X,37.6439288237372,17.7530735835412
ST110_VARExtr_0_HeizungZone_7_Regler_Y,0.0,0.0
ST110_VARExtr_0_HeizungZone_7_SollTemp,148.63431649593784,66.4193770382552
ST110_VARExtr_0_HeizungZone_8_Konfig,0.0,0.0
ST110_VARExtr_0_HeizungZone_8_Regler_X,37.204035676439425,17.36860155415861
ST110_VARExtr_0_HeizungZone_8_Regler_Y,0.0,0.0
ST110_VARExtr_0_HeizungZone_8_SollTemp,148.63431649593784,66.4193770382552
ST110_VARExtr_0_HeizungZone_9_Konfig,0.0,0.0
ST110_VARExtr_0_HeizungZone_9_Regler_X,36.64091310490993,17.29699839354275
ST110_VARExtr_0_HeizungZone_9_Regler_Y,0.0,0.0
ST110_VARExtr_0_HeizungZone_9_SollTemp,148.63431649593784,66.4193770382552
ST110_VARExtr_1_druck_1_IstP,315.790475980219,18217.20162334846
ST110_VARExtr_1_HeizungZone_1_ActEffectPower,1.5308738078418376,0.6291324726505052
ST110_VARExtr_1_HeizungZone_1_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_1_Regler_X,164.06053073119043,259.26870563777896
ST110_VARExtr_1_HeizungZone_1_Regler_Y,30.644061285764746,288.04500952608345
ST110_VARExtr_1_HeizungZone_1_SollTemp,164.35283468738962,216.05010168818316
ST110_VARExtr_1_HeizungZone_2_ActEffectPower,0.7854365065349,0.2756223545978905
ST110_VARExtr_1_HeizungZone_2_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_2_Regler_X,166.4904274108089,274.80325878590423
ST110_VARExtr_1_HeizungZone_2_Regler_Y,15.024487813493463,157.12395493876926
ST110_VARExtr_1_HeizungZone_2_SollTemp,166.7735340868951,233.96761096298013
ST110_VARExtr_1_HeizungZone_3_ActEffectPower,1.0345259184034068,0.3301382993469233
ST110_VARExtr_1_HeizungZone_3_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_3_Regler_X,168.29769957612154,285.56676425406175
ST110_VARExtr_1_HeizungZone_3_Regler_Y,20.45987725185447,172.7347763129419
ST110_VARExtr_1_HeizungZone_3_SollTemp,168.5640056517132,244.48256206536897
ST110_VARExtr_1_HeizungZone_4_ActEffectPower,0.1893745584599016,0.06199460040988696
ST110_VARExtr_1_HeizungZone_4_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_4_Regler_X,170.02512804662663,300.71452097700177
ST110_VARExtr_1_HeizungZone_4_Regler_Y,1.2096034969975271,84.64126436621208
ST110_VARExtr_1_HeizungZone_4_SollTemp,170.31963528788415,257.49318162758306
ST110_VARExtr_1_HeizungZone_5_ActEffectPower,0.0,0.0
ST110_VARExtr_1_HeizungZone_5_Konfig,0.0,0.0
ST110_VARExtr_1_HeizungZone_5_Regler_X,34.17525609325327,15.40065849433807
ST110_VARExtr_1_HeizungZone_5_Regler_Y,0.0,0.0
ST110_VARExtr_1_HeizungZone_5_SollTemp,148.08194984104557,92.22399874142036
ST110_VARExtr_1_HeizungZone_6_ActEffectPower,0.0,0.0
ST110_VARExtr_1_HeizungZone_6_Konfig,0.0,0.0
ST110_VARExtr_1_HeizungZone_6_Regler_X,0.0,0.0
ST110_VARExtr_1_HeizungZone_6_Regler_Y,0.0,0.0
ST110_VARExtr_1_HeizungZone_6_SollTemp,148.08194984104557,92.22399874142036
ST110_VARExtr_1_HeizungZone_7_ActEffectPower,0.7159926262804878,0.0991775610440441
ST110_VARExtr_1_HeizungZone_7_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_7_Regler_X,171.46231896856239,309.0998036465772
ST110_VARExtr_1_HeizungZone_7_Regler_Y,16.98075326739668,55.77419144153793
ST110_VARExtr_1_HeizungZone_7_SollTemp,171.65571794418932,271.5623624935191
ST110_VARExtr_1_HeizungZone_8_ActEffectPower,0.2756975891910618,0.006037661716460864
ST110_VARExtr_1_HeizungZone_8_Konfig,1.0,0.0
ST110_VARExtr_1_HeizungZone_8_Regler_X,172.77337071706108,312.7541131797766
ST110_VARExtr_1_HeizungZone_8_Regler_Y,23.50110826563052,43.890461022113904
